Degree,P(k<=K)
0,1.0
1,1.0
2,0.38392508778774875
3,0.23214982442450255
4,0.1591884510339446
5,0.11978150604760048
6,0.09481076863051112
7,0.07647288333983612
8,0.06554818571985954
9,0.05852516582130316
10,0.05072181037846274
11,0.0425282871634803
12,0.03862660944206009
13,0.035115099492781895
14,0.03160358954350371
15,0.030042918454935622
16,0.02614124073351541
17,0.023410066328521262
18,0.02145922746781116
19,0.020678891923527117
20,0.017557549746390948
21,0.017167381974248927
22,0.015606710885680842
23,0.013655872024970737
24,0.013265704252828716
25,0.012485368708544674
26,0.01092469761997659
27,0.010534529847834569
28,0.009754194303550527
29,0.008583690987124463
30,0.007803355442840421
31,0.0074131876706984
32,0.00702301989855638
33,0.00702301989855638
34,0.006632852126414358
35,0.006632852126414358
36,0.006242684354272337
37,0.005852516582130316
38,0.005852516582130316
39,0.005462348809988295
40,0.005462348809988295
41,0.005462348809988295
42,0.0046820132657042525
43,0.0046820132657042525
44,0.004291845493562232
45,0.004291845493562232
46,0.0039016777214202106
47,0.0039016777214202106
48,0.00351150994927819
49,0.00351150994927819
50,0.00351150994927819
51,0.00351150994927819
52,0.00351150994927819
53,0.00351150994927819
54,0.00351150994927819
55,0.00351150994927819
56,0.00351150994927819
57,0.00351150994927819
58,0.0031213421771361686
59,0.0031213421771361686
60,0.0031213421771361686
61,0.0031213421771361686
62,0.0031213421771361686
63,0.0031213421771361686
64,0.0027311744049941474
65,0.0027311744049941474
66,0.0027311744049941474
67,0.0027311744049941474
68,0.0023410066328521262
69,0.0023410066328521262
70,0.0015606710885680843
71,0.0015606710885680843
72,0.0011705033164260631
73,0.0011705033164260631
74,0.0011705033164260631
75,0.0007803355442840422
76,0.0007803355442840422
77,0.0007803355442840422
78,0.0007803355442840422
79,0.0007803355442840422
80,0.0003901677721420211
81,0.0003901677721420211
82,0.0003901677721420211
83,0.0003901677721420211
84,0.0003901677721420211
85,0.0003901677721420211
86,0.0003901677721420211
87,0.0003901677721420211
88,0.0003901677721420211
89,0.0003901677721420211
90,0.0003901677721420211
91,0.0003901677721420211
92,0.0003901677721420211
93,0.0003901677721420211
94,0.0003901677721420211
95,0.0003901677721420211
96,0.0003901677721420211
97,0.0003901677721420211
98,0.0003901677721420211
99,0.0003901677721420211
100,0.0003901677721420211
101,0.0003901677721420211
102,0.0003901677721420211
103,0.0003901677721420211
104,0.0003901677721420211
105,0.0003901677721420211
106,0.0003901677721420211
107,0.0003901677721420211
108,0.0003901677721420211
109,0.0003901677721420211
110,0.0003901677721420211
111,0.0003901677721420211
112,0.0003901677721420211
113,0.0003901677721420211
114,0.0003901677721420211
115,0.0003901677721420211
116,0.0003901677721420211
117,0.0003901677721420211
118,0.0003901677721420211
119,0.0003901677721420211
120,0.0003901677721420211
121,0.0003901677721420211
122,0.0003901677721420211
123,0.0003901677721420211
124,0.0003901677721420211
125,0.0003901677721420211
126,0.0003901677721420211
127,0.0003901677721420211
128,0.0003901677721420211
129,0.0003901677721420211
130,0.0003901677721420211
131,0.0003901677721420211
132,0.0003901677721420211
133,0.0003901677721420211
134,0.0003901677721420211
135,0.0003901677721420211
136,0.0003901677721420211
137,0.0003901677721420211
138,0.0003901677721420211
139,0.0003901677721420211
140,0.0003901677721420211
141,0.0003901677721420211
