Degree,P(k<=K)
0,1.0
1,1.0
2,1.0
3,0.9790209790209791
4,0.972027972027972
5,0.951048951048951
6,0.951048951048951
7,0.9230769230769231
8,0.8881118881118881
9,0.8531468531468531
10,0.8251748251748252
11,0.8041958041958042
12,0.7902097902097902
13,0.7692307692307693
14,0.7412587412587412
15,0.7412587412587412
16,0.7342657342657343
17,0.6993006993006993
18,0.6783216783216783
19,0.6503496503496503
20,0.6433566433566433
21,0.6223776223776224
22,0.5804195804195804
23,0.5524475524475524
24,0.5244755244755245
25,0.4965034965034965
26,0.4965034965034965
27,0.46153846153846156
28,0.44755244755244755
29,0.42657342657342656
30,0.40559440559440557
31,0.38461538461538464
32,0.3706293706293706
33,0.35664335664335667
34,0.34265734265734266
35,0.3356643356643357
36,0.32867132867132864
37,0.3146853146853147
38,0.3076923076923077
39,0.3006993006993007
40,0.3006993006993007
41,0.27972027972027974
42,0.2727272727272727
43,0.2727272727272727
44,0.25874125874125875
45,0.24475524475524477
46,0.23776223776223776
47,0.23776223776223776
48,0.23076923076923078
49,0.23076923076923078
50,0.21678321678321677
51,0.2097902097902098
52,0.2097902097902098
53,0.20279720279720279
54,0.18181818181818182
55,0.18181818181818182
56,0.17482517482517482
57,0.16783216783216784
58,0.15384615384615385
59,0.14685314685314685
60,0.14685314685314685
61,0.14685314685314685
62,0.14685314685314685
63,0.14685314685314685
64,0.13286713286713286
65,0.11888111888111888
66,0.11188811188811189
67,0.1048951048951049
68,0.0979020979020979
69,0.0979020979020979
70,0.0979020979020979
71,0.0979020979020979
72,0.09090909090909091
73,0.09090909090909091
74,0.08391608391608392
75,0.08391608391608392
76,0.07692307692307693
77,0.07692307692307693
78,0.06293706293706294
79,0.06293706293706294
80,0.055944055944055944
81,0.055944055944055944
82,0.04895104895104895
83,0.04895104895104895
84,0.04895104895104895
85,0.04895104895104895
86,0.04895104895104895
87,0.03496503496503497
88,0.03496503496503497
89,0.03496503496503497
90,0.027972027972027972
91,0.027972027972027972
92,0.027972027972027972
93,0.027972027972027972
94,0.027972027972027972
95,0.027972027972027972
96,0.027972027972027972
97,0.027972027972027972
98,0.027972027972027972
99,0.02097902097902098
100,0.02097902097902098
101,0.02097902097902098
102,0.02097902097902098
103,0.013986013986013986
104,0.013986013986013986
105,0.013986013986013986
106,0.013986013986013986
107,0.013986013986013986
108,0.013986013986013986
109,0.013986013986013986
110,0.013986013986013986
111,0.013986013986013986
112,0.013986013986013986
113,0.013986013986013986
114,0.006993006993006993
115,0.006993006993006993
116,0.006993006993006993
117,0.006993006993006993
